coin,Extreme Fear,Fear,Neutral,Greed,Extreme Greed
@107,,13.598057695141627,,188.85999050402572,
@123,,,,-0.025778147055214723,
@142,,14.09836718670806,,,
@4,,-0.022517272727272726,2.462115131736527,-8.534003893203883,
@51,,-0.22296177936842104,-11.5577153832,-1.066413174,
@8,,,-0.6730045437788017,-2.6750124915254236,
@85,,132.42416220347224,,282.655433426,
AAVE,,5.98723964102564,1.8381186880733946,38.92493512334802,-115.85234139583334
ADA,,-87.50644784969325,,5.409008342629482,
AI16Z,,14.82662283079848,,,
AIXBT,,53.41426644497608,,,
ALT,,25.822380103174602,,,20.787221455284552
ANIME,,32.06557061969697,,,
APE,,8.333874739999999,0.34912000000000004,12.417456206278025,92.00565789655172
APT,,22.631266984375,,5.767493575,
ARB,,99.40587865957446,,4.75639075,1.1932489230769232
AVAX,,302.3846831680672,,164.43858601351351,
BADGER,,0.5912695,,0.842611547368421,67.79629684210526
BERA,,75.64377886000001,,,
BNB,,10.064696133928573,2.016944833333333,-1.8669732647058825,
BRETT,,2.3451250000000003,,7.022105883720931,
BTC,,29.26240547068283,46.10133991244239,40.32338864810787,-6.974314915920055
CHILLGUY,,16.512628588235295,,24.23696824489796,
CRV,,-0.52104936,,-93.57707030769231,
DOGE,,363.3513333735632,,16.165397872204473,94.02968907272728
DYDX,,0.01578610344827587,0.2980704,13.4722307,
EIGEN,,161.23725906024097,-7.8429588,218.01270533755275,
ENA,,313.7587593210445,,37.74667657227139,
ETH,,267.2907958052867,-24.44818009073959,10.466367334351148,-4.285990445720251
ETHFI,,,140.4368344083601,,
FARTCOIN,,-35.83159798555008,,28.79180214507772,
FTT,,8.44681021297837,,1.5472414622741766,
FXS,,4.648730785714285,,-5.866374949152542,
GOAT,,14.0650445,,86.83194994444445,
GRASS,,8.80001423076923,,-0.7592818620689656,
GRIFFAIN,,13.059883007246377,,,
HBAR,,2.409375602941177,,10.127155247058823,
HPOS,,0.39716250000000003,,57.85343096,5.383631135416667
HYPE,,31.667760144157523,,14.48527332840691,
ILV,,1.8524800000000003,,39.49004330909091,22.482420400000002
INJ,,,,1.6248897195121952,75.8940734868421
IO,,4.967302896551724,-103.48988696698112,-4.10463835,
IP,,6.358932223880598,,,
JELLY,,35.13367400504033,,,
JTO,,57.27953259375,0.7410104999999999,-7.48271325,
JUP,,89.20728547717842,11.514401459770115,,29.521950057142853
KAITO,,4.171863722891567,,,
LAYER,,69.49918960273972,,,
LINK,,4.921477407216495,12.246075888888889,1.6740120563380283,
LTC,,51.66443751923077,,2.023729862068966,
MAVIA,,19.811773693121694,,,112.5636779375
ME,,27.63600932426778,,275.81521499999997,
MELANIA,,95.13515072215533,,,
MOODENG,,5.2921947000000005,,168.3191449368421,
MOVE,,26.35819596039604,,-5.649457,
NEAR,,1.9854913333333333,2.3602175,1.3978255454545454,69.10930772636816
NIL,,-14.755242331858407,,,
ONDO,,4.595378430730478,,,53.20200557633588
OP,,54.392969519230775,,,37.66492287301587
PAXG,,0.2199714081996435,,,
PENDLE,,6.705517248039216,,,33.320206636363636
PENGU,,5.580718578512397,,1.8015059552238808,
PNUT,,7.506301601239669,,111.87718592857144,
POPCAT,,8.51874782674772,5.903285839285715,4.470925749999999,
PURR,,16.70762201215067,,36.82638308022923,
PURR/USDC,,13.089668480456027,-1.248526865671642,43.970735998474446,-1.6233848404907978
PYTH,,6.439336806818182,,18.99146941818182,17.778214166666668
RENDER,,34.677091,,23.652199118343194,
RNDR,,,0.8657189487179487,,98.77799678832116
RUNE,,18.73380860810811,,3.0706318387096774,27.488156971014494
S,,-60.25651725694445,,,
SAND,,12.105743544378697,,3.7943597272727274,
SEI,,65.48279658024691,,-16.037180714285714,-0.00209725
SOL,,193.46011662193033,9.886560031007752,-3.543003374814815,15.661463699999999
STX,,-0.08264858490566038,,2.8131683939393937,35.17906245238095
SUI,,111.01995761471103,,98.83116108987161,166.9622995
SUSHI,,2.1861953076923077,,5.614997534883721,11.382652714285712
TAO,,25.717239886497065,,45.95334329268292,
TIA,,119.22403048529412,3.877264,13.473412586021505,55.688167684210526
TNSR,,13.576337612403101,3.2591428149466193,7.285527285140562,15.506985777777778
TRUMP,,43.44376871126229,,,
TST,,20.016108969696973,,,
USUAL,,146.34277696590908,,32.05146908227848,
VINE,,5.741613762022195,,,
VIRTUAL,,43.12597690143737,,76.85200792307693,
W,,7.3998009499999995,2.353990320921986,1.3423764999999999,
WIF,,-27.417650708333337,1.3742285263157894,,72.216347
WLD,,12.362337487179488,9.668476605527637,12.445092356287425,72.0920453923445
XRP,,1.8855921115082206,,1.1122937973333333,
ZEREBRO,,32.96007087096774,,,
ZETA,,0.8566156666666668,,,19.293287305439332
ZRO,,54.560943904761906,125.3553907582897,1569.8953256086957,48.78641742857143
kBONK,,14.632088868421052,1.6935683897058824,16.181569611814346,86.93342335971224
kPEPE,,4.628805901869159,7.033935047619048,7.806123074792243,69.97154898636363
